DateKey,Date,Day,Month,MonthName,Quarter,Year,WeekOfYear
20110227,2011-02-27,27,2,February,1,2011,8
20110228,2011-02-28,28,2,February,1,2011,9
20110301,2011-03-01,1,3,March,1,2011,9
20110302,2011-03-02,2,3,March,1,2011,9
20110303,2011-03-03,3,3,March,1,2011,9
20110304,2011-03-04,4,3,March,1,2011,9
20110306,2011-03-06,6,3,March,1,2011,9
20110307,2011-03-07,7,3,March,1,2011,10
20110308,2011-03-08,8,3,March,1,2011,10
20110309,2011-03-09,9,3,March,1,2011,10
20110310,2011-03-10,10,3,March,1,2011,10
20110311,2011-03-11,11,3,March,1,2011,10
20110313,2011-03-13,13,3,March,1,2011,10
20110314,2011-03-14,14,3,March,1,2011,11
20110315,2011-03-15,15,3,March,1,2011,11
20110316,2011-03-16,16,3,March,1,2011,11
20110317,2011-03-17,17,3,March,1,2011,11
20110318,2011-03-18,18,3,March,1,2011,11
20110320,2011-03-20,20,3,March,1,2011,11
20110321,2011-03-21,21,3,March,1,2011,12
20110322,2011-03-22,22,3,March,1,2011,12
20110323,2011-03-23,23,3,March,1,2011,12
20110324,2011-03-24,24,3,March,1,2011,12
20110325,2011-03-25,25,3,March,1,2011,12
20110327,2011-03-27,27,3,March,1,2011,12
20110328,2011-03-28,28,3,March,1,2011,13
20110329,2011-03-29,29,3,March,1,2011,13
20110330,2011-03-30,30,3,March,1,2011,13
20110331,2011-03-31,31,3,March,1,2011,13
20110401,2011-04-01,1,4,April,2,2011,13
20110403,2011-04-03,3,4,April,2,2011,13
20110404,2011-04-04,4,4,April,2,2011,14
20110405,2011-04-05,5,4,April,2,2011,14
20110406,2011-04-06,6,4,April,2,2011,14
20110407,2011-04-07,7,4,April,2,2011,14
20110408,2011-04-08,8,4,April,2,2011,14
20110410,2011-04-10,10,4,April,2,2011,14
20110411,2011-04-11,11,4,April,2,2011,15
20110412,2011-04-12,12,4,April,2,2011,15
20110413,2011-04-13,13,4,April,2,2011,15
20110414,2011-04-14,14,4,April,2,2011,15
20110415,2011-04-15,15,4,April,2,2011,15
20110417,2011-04-17,17,4,April,2,2011,15
20110418,2011-04-18,18,4,April,2,2011,16
20110419,2011-04-19,19,4,April,2,2011,16
20110420,2011-04-20,20,4,April,2,2011,16
20110421,2011-04-21,21,4,April,2,2011,16
20110426,2011-04-26,26,4,April,2,2011,17
20110427,2011-04-27,27,4,April,2,2011,17
20110428,2011-04-28,28,4,April,2,2011,17
20110501,2011-05-01,1,5,May,2,2011,17
20110503,2011-05-03,3,5,May,2,2011,18
20110504,2011-05-04,4,5,May,2,2011,18
20110505,2011-05-05,5,5,May,2,2011,18
20110506,2011-05-06,6,5,May,2,2011,18
20110508,2011-05-08,8,5,May,2,2011,18
20110509,2011-05-09,9,5,May,2,2011,19
20110510,2011-05-10,10,5,May,2,2011,19
20110511,2011-05-11,11,5,May,2,2011,19
20110512,2011-05-12,12,5,May,2,2011,19
20110513,2011-05-13,13,5,May,2,2011,19
20110515,2011-05-15,15,5,May,2,2011,19
20110516,2011-05-16,16,5,May,2,2011,20
20110517,2011-05-17,17,5,May,2,2011,20
20110518,2011-05-18,18,5,May,2,2011,20
20110519,2011-05-19,19,5,May,2,2011,20
20110520,2011-05-20,20,5,May,2,2011,20
20110522,2011-05-22,22,5,May,2,2011,20
20110523,2011-05-23,23,5,May,2,2011,21
20110524,2011-05-24,24,5,May,2,2011,21
20110525,2011-05-25,25,5,May,2,2011,21
20110526,2011-05-26,26,5,May,2,2011,21
20110527,2011-05-27,27,5,May,2,2011,21
20110529,2011-05-29,29,5,May,2,2011,21
20110531,2011-05-31,31,5,May,2,2011,22
20110601,2011-06-01,1,6,June,2,2011,22
20110602,2011-06-02,2,6,June,2,2011,22
20110603,2011-06-03,3,6,June,2,2011,22
20110605,2011-06-05,5,6,June,2,2011,22
20110606,2011-06-06,6,6,June,2,2011,23
20110607,2011-06-07,7,6,June,2,2011,23
20110608,2011-06-08,8,6,June,2,2011,23
20110609,2011-06-09,9,6,June,2,2011,23
20110610,2011-06-10,10,6,June,2,2011,23
20110612,2011-06-12,12,6,June,2,2011,23
20110613,2011-06-13,13,6,June,2,2011,24
20110614,2011-06-14,14,6,June,2,2011,24
20110615,2011-06-15,15,6,June,2,2011,24
20110616,2011-06-16,16,6,June,2,2011,24
20110617,2011-06-17,17,6,June,2,2011,24
20110619,2011-06-19,19,6,June,2,2011,24
20110620,2011-06-20,20,6,June,2,2011,25
20110621,2011-06-21,21,6,June,2,2011,25
20110622,2011-06-22,22,6,June,2,2011,25
20110623,2011-06-23,23,6,June,2,2011,25
20110624,2011-06-24,24,6,June,2,2011,25
20110626,2011-06-26,26,6,June,2,2011,25
20110627,2011-06-27,27,6,June,2,2011,26
20110628,2011-06-28,28,6,June,2,2011,26
20110629,2011-06-29,29,6,June,2,2011,26
20110630,2011-06-30,30,6,June,2,2011,26
20110701,2011-07-01,1,7,July,3,2011,26
20110703,2011-07-03,3,7,July,3,2011,26
20110704,2011-07-04,4,7,July,3,2011,27
20110705,2011-07-05,5,7,July,3,2011,27
20110706,2011-07-06,6,7,July,3,2011,27
20110707,2011-07-07,7,7,July,3,2011,27
20110708,2011-07-08,8,7,July,3,2011,27
20110710,2011-07-10,10,7,July,3,2011,27
20110711,2011-07-11,11,7,July,3,2011,28
20110712,2011-07-12,12,7,July,3,2011,28
20110713,2011-07-13,13,7,July,3,2011,28
20110714,2011-07-14,14,7,July,3,2011,28
20110715,2011-07-15,15,7,July,3,2011,28
20110717,2011-07-17,17,7,July,3,2011,28
20110718,2011-07-18,18,7,July,3,2011,29
20110719,2011-07-19,19,7,July,3,2011,29
20110720,2011-07-20,20,7,July,3,2011,29
20110721,2011-07-21,21,7,July,3,2011,29
20110722,2011-07-22,22,7,July,3,2011,29
20110724,2011-07-24,24,7,July,3,2011,29
20110725,2011-07-25,25,7,July,3,2011,30
20110726,2011-07-26,26,7,July,3,2011,30
20110727,2011-07-27,27,7,July,3,2011,30
20110728,2011-07-28,28,7,July,3,2011,30
20110729,2011-07-29,29,7,July,3,2011,30
20110731,2011-07-31,31,7,July,3,2011,30
20110801,2011-08-01,1,8,August,3,2011,31
20110802,2011-08-02,2,8,August,3,2011,31
20110803,2011-08-03,3,8,August,3,2011,31
20110804,2011-08-04,4,8,August,3,2011,31
20110805,2011-08-05,5,8,August,3,2011,31
20110807,2011-08-07,7,8,August,3,2011,31
20110808,2011-08-08,8,8,August,3,2011,32
20110809,2011-08-09,9,8,August,3,2011,32
20110810,2011-08-10,10,8,August,3,2011,32
20110811,2011-08-11,11,8,August,3,2011,32
20110812,2011-08-12,12,8,August,3,2011,32
20110814,2011-08-14,14,8,August,3,2011,32
20110815,2011-08-15,15,8,August,3,2011,33
20110816,2011-08-16,16,8,August,3,2011,33
20110817,2011-08-17,17,8,August,3,2011,33
20110818,2011-08-18,18,8,August,3,2011,33
20110819,2011-08-19,19,8,August,3,2011,33
20110821,2011-08-21,21,8,August,3,2011,33
20110822,2011-08-22,22,8,August,3,2011,34
20110823,2011-08-23,23,8,August,3,2011,34
20110824,2011-08-24,24,8,August,3,2011,34
20110825,2011-08-25,25,8,August,3,2011,34
20110826,2011-08-26,26,8,August,3,2011,34
20110828,2011-08-28,28,8,August,3,2011,34
20110830,2011-08-30,30,8,August,3,2011,35
20110831,2011-08-31,31,8,August,3,2011,35
20110901,2011-09-01,1,9,September,3,2011,35
20110902,2011-09-02,2,9,September,3,2011,35
20110904,2011-09-04,4,9,September,3,2011,35
20110905,2011-09-05,5,9,September,3,2011,36
20110906,2011-09-06,6,9,September,3,2011,36
20110907,2011-09-07,7,9,September,3,2011,36
20110908,2011-09-08,8,9,September,3,2011,36
20110909,2011-09-09,9,9,September,3,2011,36
20110911,2011-09-11,11,9,September,3,2011,36
20110912,2011-09-12,12,9,September,3,2011,37
20110913,2011-09-13,13,9,September,3,2011,37
20110914,2011-09-14,14,9,September,3,2011,37
20110915,2011-09-15,15,9,September,3,2011,37
20110916,2011-09-16,16,9,September,3,2011,37
20110918,2011-09-18,18,9,September,3,2011,37
20110919,2011-09-19,19,9,September,3,2011,38
20110920,2011-09-20,20,9,September,3,2011,38
20110921,2011-09-21,21,9,September,3,2011,38
20110922,2011-09-22,22,9,September,3,2011,38
20110923,2011-09-23,23,9,September,3,2011,38
20110925,2011-09-25,25,9,September,3,2011,38
20110926,2011-09-26,26,9,September,3,2011,39
20110927,2011-09-27,27,9,September,3,2011,39
20110928,2011-09-28,28,9,September,3,2011,39
20110929,2011-09-29,29,9,September,3,2011,39
20110930,2011-09-30,30,9,September,3,2011,39
20111002,2011-10-02,2,10,October,4,2011,39
20111003,2011-10-03,3,10,October,4,2011,40
20111004,2011-10-04,4,10,October,4,2011,40
20111005,2011-10-05,5,10,October,4,2011,40
20111006,2011-10-06,6,10,October,4,2011,40
20111007,2011-10-07,7,10,October,4,2011,40
20111009,2011-10-09,9,10,October,4,2011,40
20111010,2011-10-10,10,10,October,4,2011,41
20111011,2011-10-11,11,10,October,4,2011,41
20111012,2011-10-12,12,10,October,4,2011,41
20111013,2011-10-13,13,10,October,4,2011,41
20111014,2011-10-14,14,10,October,4,2011,41
20111016,2011-10-16,16,10,October,4,2011,41
20111017,2011-10-17,17,10,October,4,2011,42
20111018,2011-10-18,18,10,October,4,2011,42
20111019,2011-10-19,19,10,October,4,2011,42
20111020,2011-10-20,20,10,October,4,2011,42
20111021,2011-10-21,21,10,October,4,2011,42
20111023,2011-10-23,23,10,October,4,2011,42
20111024,2011-10-24,24,10,October,4,2011,43
20111025,2011-10-25,25,10,October,4,2011,43
20111026,2011-10-26,26,10,October,4,2011,43
20111027,2011-10-27,27,10,October,4,2011,43
20111028,2011-10-28,28,10,October,4,2011,43
20111030,2011-10-30,30,10,October,4,2011,43
20111031,2011-10-31,31,10,October,4,2011,44
20111101,2011-11-01,1,11,November,4,2011,44
20111102,2011-11-02,2,11,November,4,2011,44
20111103,2011-11-03,3,11,November,4,2011,44
20111104,2011-11-04,4,11,November,4,2011,44
20111106,2011-11-06,6,11,November,4,2011,44
20111107,2011-11-07,7,11,November,4,2011,45
20111108,2011-11-08,8,11,November,4,2011,45
20111109,2011-11-09,9,11,November,4,2011,45
20111110,2011-11-10,10,11,November,4,2011,45
20111111,2011-11-11,11,11,November,4,2011,45
20111113,2011-11-13,13,11,November,4,2011,45
20111114,2011-11-14,14,11,November,4,2011,46
20111115,2011-11-15,15,11,November,4,2011,46
20111116,2011-11-16,16,11,November,4,2011,46
20111117,2011-11-17,17,11,November,4,2011,46
20111118,2011-11-18,18,11,November,4,2011,46
20111120,2011-11-20,20,11,November,4,2011,46
20111121,2011-11-21,21,11,November,4,2011,47
20111122,2011-11-22,22,11,November,4,2011,47
20111123,2011-11-23,23,11,November,4,2011,47
20111124,2011-11-24,24,11,November,4,2011,47
20111125,2011-11-25,25,11,November,4,2011,47
20111127,2011-11-27,27,11,November,4,2011,47
20111128,2011-11-28,28,11,November,4,2011,48
20111129,2011-11-29,29,11,November,4,2011,48
20111130,2011-11-30,30,11,November,4,2011,48
20111201,2011-12-01,1,12,December,4,2011,48
20111202,2011-12-02,2,12,December,4,2011,48
20111204,2011-12-04,4,12,December,4,2011,48
20111205,2011-12-05,5,12,December,4,2011,49
20111206,2011-12-06,6,12,December,4,2011,49
20111207,2011-12-07,7,12,December,4,2011,49
20111208,2011-12-08,8,12,December,4,2011,49
20111209,2011-12-09,9,12,December,4,2011,49
